"date";"T1A4"
"248";"2021-06-04 04:15:00";17568.18164
"249";"2021-06-04 04:30:00";17575.75781
"250";"2021-06-04 04:45:00";17575.75781
"251";"2021-06-04 05:00:00";17575.75781
"252";"2021-06-04 05:15:00";17575.75781
"253";"2021-06-04 05:30:00";17575.75781
"254";"2021-06-04 05:45:00";17579.4212702328
"255";"2021-06-04 06:00:00";17583.33203
"256";"2021-06-04 06:15:00";17583.33203
"257";"2021-06-04 06:30:00";17583.33203
"258";"2021-06-04 06:45:00";17590.9082
"259";"2021-06-04 07:00:00";17590.9082
"260";"2021-06-04 07:15:00";17590.9082
"261";"2021-06-04 07:30:00";17590.9082
"262";"2021-06-04 07:45:00";17585.8791765607
"263";"2021-06-04 08:00:00";17590.9082
"264";"2021-06-04 08:15:00";17606.06055
"265";"2021-06-04 08:30:00";17590.9082
"266";"2021-06-04 08:45:00";17606.06055
"267";"2021-06-04 09:00:00";17606.06055
"268";"2021-06-04 09:15:00";17606.06055
"269";"2021-06-04 09:30:00";17606.06055
"270";"2021-06-04 09:45:00";17606.06055
"271";"2021-06-04 10:00:00";17606.5899422723
"272";"2021-06-04 10:15:00";17606.06055
"273";"2021-06-04 10:30:00";17606.06055
"274";"2021-06-04 10:45:00";17613.63672
"275";"2021-06-04 11:00:00";17613.63672
"276";"2021-06-04 11:15:00";17613.63672
"277";"2021-06-04 11:30:00";17613.63672
"278";"2021-06-04 11:45:00";17628.78711
"279";"2021-06-04 12:00:00";17636.3232935357
"280";"2021-06-04 12:15:00";17636.36328
"281";"2021-06-04 12:30:00";17636.36328
"282";"2021-06-04 12:45:00";17636.36328
"283";"2021-06-04 13:00:00";17636.36328
"284";"2021-06-04 13:15:00";17636.36328
"285";"2021-06-04 13:30:00";17628.78711
"286";"2021-06-04 13:45:00";17636.36328
"287";"2021-06-04 14:00:00";17638.1845452246
"288";"2021-06-04 14:15:00";17628.78711
"289";"2021-06-04 14:30:00";17613.63672
"290";"2021-06-04 14:45:00";17606.06055
"291";"2021-06-04 15:00:00";17606.06055
"292";"2021-06-04 15:15:00";17606.06055
"293";"2021-06-04 15:30:00";17590.9082
"294";"2021-06-04 15:45:00";17590.9082
"295";"2021-06-04 16:00:00";17590.9082
"296";"2021-06-04 16:15:00";17588.2370465304
"297";"2021-06-04 16:30:00";17583.33203
"298";"2021-06-04 16:45:00";17575.75781
"299";"2021-06-04 17:00:00";17568.18164
"300";"2021-06-04 17:15:00";17568.18164
"301";"2021-06-04 17:30:00";17568.18164
"302";"2021-06-04 17:45:00";17553.0293
"303";"2021-06-04 18:00:00";17553.0293
"304";"2021-06-04 18:15:00";17550.1858552466
"305";"2021-06-04 18:30:00";17545.45508
"306";"2021-06-04 18:45:00";17545.45508
"307";"2021-06-04 19:00:00";17545.45508
"308";"2021-06-04 19:15:00";17545.45508
"309";"2021-06-04 19:30:00";17530.30273
"310";"2021-06-04 19:45:00";17515.15039
"311";"2021-06-04 20:00:00";17530.30273
"312";"2021-06-04 20:15:00";17530.30273
"313";"2021-06-04 20:30:00";17517.8049052144
"314";"2021-06-04 20:45:00";17515.15039
"315";"2021-06-04 21:00:00";17530.30273
"316";"2021-06-04 21:15:00";17530.30273
"317";"2021-06-04 21:30:00";17530.30273
"318";"2021-06-04 21:45:00";17530.30273
"319";"2021-06-04 22:00:00";17530.30273
"320";"2021-06-04 22:15:00";17530.30273
"321";"2021-06-04 22:30:00";17530.2905806253
"322";"2021-06-04 22:45:00";17530.30273
"323";"2021-06-04 23:00:00";17530.30273
"324";"2021-06-04 23:15:00";17530.30273
"325";"2021-06-04 23:30:00";17530.30273
"326";"2021-06-04 23:45:00";17530.30273
"327";"2021-06-05 00:00:00";17537.87891
"328";"2021-06-05 00:15:00";17545.45508
"329";"2021-06-05 00:30:00";17545.45508
"330";"2021-06-05 00:45:00";17545.5444383382
"331";"2021-06-05 01:00:00";17545.45508
"332";"2021-06-05 01:15:00";17545.45508
"333";"2021-06-05 01:30:00";17553.0293
"334";"2021-06-05 01:45:00";17553.0293
"335";"2021-06-05 02:00:00";17545.45508
"336";"2021-06-05 02:15:00";17553.0293
"337";"2021-06-05 02:30:00";17555.7595825867
"338";"2021-06-05 02:45:00";17553.0816616649
"339";"2021-06-05 03:00:00";17553.0293
"340";"2021-06-05 03:15:00";17560.60547
"341";"2021-06-05 03:30:00";17568.18164
"342";"2021-06-05 03:45:00";17568.18164
"343";"2021-06-05 04:00:00";17568.18164
"344";"2021-06-05 04:15:00";17568.18164
"345";"2021-06-05 04:30:00";17575.75781
"346";"2021-06-05 04:45:00";17568.18164
"347";"2021-06-05 05:00:00";17569.6882601718
"348";"2021-06-05 05:15:00";17575.75781
"349";"2021-06-05 05:30:00";17575.75781
"350";"2021-06-05 05:45:00";17575.75781
"351";"2021-06-05 06:00:00";17575.75781
"352";"2021-06-05 06:15:00";17590.9082
"353";"2021-06-05 06:30:00";17583.33203
"354";"2021-06-05 06:45:00";17590.9082
"355";"2021-06-05 07:00:00";17595.889909137
"356";"2021-06-05 07:15:00";17590.9082
"357";"2021-06-05 07:30:00";17583.33203
"358";"2021-06-05 07:45:00";17590.9082
"359";"2021-06-05 08:00:00";17590.9082
"360";"2021-06-05 08:15:00";17590.9082
"361";"2021-06-05 08:30:00";17598.48438
