date;T1A1;T1A2;T1A3;T1A4
2021-06-18 07:56:24;2848.485107;3250;689.393982;17530.30273
2021-06-18 08:12:30;2840.908936;3257.575928;689.393982;17537.87891
2021-06-18 08:28:35;2848.485107;3257.575928;689.393982;17545.45508
2021-06-18 08:44:42;2848.485107;3250;689.393982;17545.45508
2021-06-18 09:00:48;2840.908936;3250;689.393982;17545.45508
2021-06-18 09:16:52;2833.333984;3257.575928;689.393982;17522.72656
2021-06-18 09:32:57;2833.333984;3250;689.393982;17530.30273
2021-06-18 09:49:05;2840.908936;3257.575928;689.393982;17522.72656
2021-06-18 10:05:09;2840.908936;3257.575928;689.393982;17507.57617
2021-06-18 10:21:15;2840.908936;3257.575928;689.393982;17507.57617
2021-06-18 10:37:19;2840.908936;3257.575928;689.393982;17492.42383
2021-06-18 10:53:28;2833.333984;3257.575928;689.393982;17492.42383
2021-06-18 11:09:32;2825.758057;3257.575928;689.393982;17484.84766
2021-06-18 11:25:37;2818.181885;3257.575928;689.393982;17477.27148
2021-06-18 11:41:42;2810.605957;3257.575928;689.393982;17477.27148
2021-06-18 11:57:49;2803.030029;3257.575928;689.393982;17469.69727
2021-06-18 12:13:54;2795.455078;3250;689.393982;17469.69727
2021-06-18 12:29:57;2765.150879;3257.575928;681.817993;17462.12109
2021-06-18 12:46:03;2757.575928;3250;651.515015;17462.12109
2021-06-18 13:02:10;2742.424072;3250;613.635986;17454.54492
2021-06-18 13:18:14;2734.849121;3257.575928;590.908997;17446.96875
2021-06-18 13:34:19;2704.545898;3250;583.333008;17446.96875
2021-06-18 13:50:23;2696.969971;3250;560.606018;17446.96875
2021-06-18 14:06:31;2659.091064;3242.424072;553.030029;17431.81836
2021-06-18 14:22:36;2636.364014;3234.849121;530.302979;17424.24219
2021-06-18 14:38:41;2606.061035;3219.697021;522.72699;17431.81836
2021-06-18 14:54:45;2590.908936;3196.969971;500;17424.24219
2021-06-18 15:10:52;2575.758057;3181.818115;500;17416.66602
2021-06-18 15:26:57;2560.605957;3174.24292;469.696991;17409.08984
2021-06-18 15:43:02;2515.1521;3143.939941;439.394012;17409.08984
2021-06-18 15:59:06;2477.272949;3121.211914;378.787994;17393.93945
2021-06-18 16:31:16;2462.121094;3106.061035;318.182007;17386.36328
2021-06-18 17:03:25;2462.121094;3106.061035;310.605988;17386.36328
2021-06-18 17:19:31;2462.121094;3106.061035;310.605988;17386.36328
2021-06-18 17:35:36;2477.272949;3098.485107;310.605988;17386.36328
2021-06-18 17:51:40;2507.575928;3106.061035;325.757996;17386.36328
2021-06-18 18:07:44;2515.1521;3106.061035;340.908997;17386.36328
2021-06-18 18:23:51;2515.1521;3106.061035;340.908997;17386.36328
2021-06-18 18:39:55;2515.1521;3106.061035;348.484985;17386.36328
2021-06-18 18:55:59;2537.878906;3106.061035;371.212006;17386.36328
2021-06-18 19:12:04;2560.605957;3106.061035;393.938995;17401.51563
2021-06-18 19:28:12;2583.333008;3121.211914;416.666992;17401.51563
2021-06-18 19:44:16;2606.061035;3121.211914;424.242004;17393.93945
2021-06-18 20:00:21;2621.211914;3128.788086;439.394012;17393.93945
2021-06-18 20:16:25;2636.364014;3143.939941;469.696991;17409.08984
2021-06-18 20:32:32;2666.666992;3159.091064;477.27301;17416.66602
2021-06-18 20:48:38;2696.969971;3174.24292;507.575989;17416.66602
2021-06-18 21:04:42;2719.697021;3181.818115;537.879028;17424.24219
2021-06-18 21:20:48;2734.849121;3196.969971;560.606018;17416.66602
2021-06-18 21:36:54;2750;3204.545898;575.757996;17424.24219
2021-06-18 21:52:59;2757.575928;3219.697021;590.908997;17431.81836
2021-06-18 22:09:05;2772.727051;3227.272949;590.908997;17431.81836
2021-06-18 22:25:11;2780.302979;3227.272949;598.484985;17439.39453
2021-06-18 22:41:19;2787.878906;3227.272949;598.484985;17446.96875
2021-06-18 22:57:25;2795.455078;3227.272949;613.635986;17446.96875
2021-06-18 23:13:31;2795.455078;3227.272949;621.211975;17446.96875
2021-06-18 23:29:37;2795.455078;3234.849121;628.788025;17454.54492
2021-06-18 23:45:46;2810.605957;3234.849121;628.788025;17454.54492
2021-06-19 00:01:53;2803.030029;3234.849121;628.788025;17454.54492
2021-06-19 00:17:59;2818.181885;3234.849121;628.788025;17454.54492
2021-06-19 00:34:06;2810.605957;3234.849121;628.788025;17454.54492
2021-06-19 00:50:13;2818.181885;3234.849121;636.364014;17462.12109
2021-06-19 01:06:20;2818.181885;3234.849121;636.364014;17469.69727
2021-06-19 01:38:34;2825.758057;3234.849121;636.364014;17477.27148
2021-06-19 01:54:43;2825.758057;3242.424072;636.364014;17477.27148
2021-06-19 02:10:49;2825.758057;3242.424072;636.364014;17477.27148
2021-06-19 02:26:56;2825.758057;3242.424072;636.364014;17484.84766
2021-06-19 02:43:03;2825.758057;3234.849121;636.364014;17484.84766
2021-06-19 02:59:11;2825.758057;3242.424072;636.364014;17484.84766
2021-06-19 03:15:19;2825.758057;3234.849121;636.364014;17484.84766
2021-06-19 03:31:25;2825.758057;3242.424072;636.364014;17492.42383
2021-06-19 03:47:32;2833.333984;3242.424072;643.939026;17492.42383
2021-06-19 04:03:41;2825.758057;3242.424072;636.364014;17492.42383
2021-06-19 04:19:49;2825.758057;3242.424072;636.364014;17507.57617
2021-06-19 04:35:56;2833.333984;3242.424072;636.364014;17507.57617
2021-06-19 04:52:02;2825.758057;3242.424072;643.939026;17507.57617
2021-06-19 05:08:12;2833.333984;3242.424072;643.939026;17507.57617
2021-06-19 05:24:19;2833.333984;3242.424072;636.364014;17515.15039
2021-06-19 05:40:25;2833.333984;3242.424072;643.939026;17515.15039
